symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rs_h,vol_h,perf_h,rs_up,rank,symbol_clean,rank_diff,rank_status
MANAPPURAM.NS,318.65,3.51,291.24,9.35,-5.59,18.89,48,"[46, 39, 43, 50, 48]","[7.82, 9.43, 8.86, 7.36, 9.35]","[15.83, 19.22, 18.05, 14.94, 18.89]",False,140,MANAPPURAM,-9,down
TATACOMM.NS,1988.8,0.11,1686.06,9.07,-5.66,19.14,47,"[48, 48, 51, 55, 47]","[7.18, 6.97, 6.78, 6.21, 9.07]","[15.04, 14.59, 14.2, 13.02, 19.14]",False,141,TATACOMM,-22,down
ZFCVINDIA.NS,15795.0,1.12,14352.32,10.82,-5.85,19.77,47,"[59, 54, 55, 55, 47]","[4.77, 6.65, 6.65, 7.15, 10.82]","[8.62, 12.07, 12.07, 13.0, 19.77]",False,142,ZFCVINDIA,-24,down
NUVAMA.NS,1739.6,0.0,1397.26,8.42,-5.88,19.87,46,"[62, 50, 48, 37, 46]","[3.01, 5.96, 7.14, 10.15, 8.42]","[7.1, 14.14, 16.91, 24.13, 19.87]",False,143,NUVAMA,22,up
BANDHANBNK.NS,208.09,3.99,175.99,8.7,-5.91,19.99,46,"[50, 44, 37, 38, 46]","[6.12, 7.24, 10.05, 10.07, 8.7]","[14.01, 16.63, 23.1, 23.13, 19.99]",False,144,BANDHANBNK,17,up
MARICO.NS,817.05,3.03,771.23,18.05,-5.96,20.14,46,"[44, 43, 44, 47, 46]","[16.59, 15.09, 16.15, 15.88, 18.05]","[18.4, 16.77, 17.91, 17.62, 20.14]",False,145,MARICO,-5,down
THELEELA.NS,494.2,0.0,424.86,10.67,-6.1,20.61,45,"[71, 57, 58, 53, 45]","[0.71, 5.25, 5.85, 7.1, 10.67]","[1.3, 9.87, 10.99, 13.28, 20.61]",False,146,THELEELA,-24,down
CAPLIPOINT.NS,2503.5,0.0,1905.98,10.15,-6.14,20.77,45,"[43, 54, 53, 62, 45]","[9.35, 6.02, 6.4, 4.69, 10.15]","[18.93, 12.11, 12.88, 9.46, 20.77]",False,147,CAPLIPOINT,-47,down
ABB.NS,7248.0,4.08,6148.21,11.49,-6.16,20.83,44,"[56, 48, 45, 42, 44]","[5.78, 8.08, 9.57, 11.11, 11.49]","[10.43, 14.6, 17.31, 20.14, 20.83]",False,148,ABB,3,up
AMBER.NS,7889.0,10.78,7389.23,7.84,-6.16,20.82,44,"[52, 47, 40, 40, 44]","[4.69, 5.57, 7.43, 8.14, 7.84]","[12.41, 14.78, 19.7, 21.58, 20.82]",False,149,AMBER,8,up
ASIANPAINT.NS,2732.9,7.94,2539.61,13.96,-6.17,20.86,44,"[38, 35, 37, 38, 44]","[16.06, 16.19, 16.06, 15.95, 13.96]","[24.01, 24.21, 24.02, 23.85, 20.86]",False,150,ASIANPAINT,13,up
NESTLEIND.NS,1414.8,4.8,1312.36,16.21,-6.2,20.95,43,"[49, 47, 44, 43, 43]","[11.02, 11.4, 13.78, 15.13, 16.21]","[14.25, 14.74, 17.8, 19.56, 20.95]",False,151,NESTLEIND,-1,down
APOLLOHOSP.NS,8489.5,0.4,7700.75,17.12,-6.35,21.48,43,"[39, 36, 39, 41, 43]","[18.36, 17.89, 16.05, 16.49, 17.12]","[23.15, 22.56, 20.24, 20.8, 21.48]",False,152,APOLLOHOSP,2,up
AJANTPHARM.NS,3065.2,5.95,2844.73,13.63,-6.41,21.67,43,"[40, 43, 51, 45, 43]","[14.09, 10.28, 8.72, 11.4, 13.63]","[22.89, 16.69, 14.06, 18.21, 21.67]",False,153,AJANTPHARM,-8,down
LUPIN.NS,2351.6,4.41,2205.4,17.16,-6.42,21.72,42,"[48, 52, 53, 51, 42]","[11.83, 10.08, 10.41, 11.25, 17.16]","[15.1, 12.86, 13.28, 14.33, 21.72]",False,154,LUPIN,-26,down
BANKBARODA.NS,281.05,10.57,268.24,13.1,-6.47,21.89,42,"[49, 41, 42, 40, 42]","[8.9, 10.48, 10.87, 12.94, 13.1]","[14.87, 17.47, 18.12, 21.63, 21.89]",False,155,BANKBARODA,3,up
KIMS.NS,804.25,0.0,701.2,10.64,-6.52,22.04,42,"[41, 48, 45, 47, 42]","[9.9, 7.05, 8.53, 8.24, 10.64]","[20.66, 14.67, 17.75, 17.13, 22.04]",False,156,KIMS,-18,down
ADANIENT.NS,3038.4,0.28,2410.52,10.32,-6.55,22.15,41,"[53, 51, 49, 46, 41]","[5.53, 6.55, 7.36, 8.26, 10.32]","[11.91, 14.1, 15.83, 17.76, 22.15]",False,157,ADANIENT,-16,down
CREDITACC.NS,1406.4,7.7,1297.18,8.95,-6.62,22.37,41,"[58, 52, 42, 40, 41]","[3.81, 5.0, 7.26, 8.55, 8.95]","[9.51, 12.54, 18.2, 21.46, 22.37]",False,158,CREDITACC,-2,down
FINCABLES.NS,1164.3,1.1,908.8,10.05,-6.7,22.67,40,"[64, 62, 62, 46, 40]","[2.46, 2.86, 4.11, 7.93, 10.05]","[5.44, 6.34, 9.11, 17.81, 22.67]",False,159,FINCABLES,-17,down
NSLNISP.NS,46.88,10.79,42.52,8.48,-6.75,22.82,40,"[44, 42, 40, 39, 40]","[6.81, 6.27, 7.23, 8.13, 8.48]","[18.4, 16.94, 19.49, 21.87, 22.82]",False,160,NSLNISP,-1,down
PTCIL.NS,18333.0,5.4,16987.01,10.65,-6.83,23.08,40,"[35, 38, 48, 48, 40]","[12.47, 9.86, 7.45, 7.62, 10.65]","[26.77, 20.94, 15.97, 16.33, 23.08]",False,161,PTCIL,-24,down
BAJAJ-AUTO.NS,10066.0,5.56,9492.49,16.96,-6.87,23.21,39,"[41, 39, 39, 38, 39]","[15.5, 13.51, 15.05, 17.07, 16.96]","[21.3, 18.57, 20.63, 23.37, 23.21]",False,162,BAJAJ-AUTO,0,stable
COALINDIA.NS,451.3,6.3,429.75,16.88,-6.93,23.44,39,"[44, 40, 38, 36, 39]","[13.49, 13.06, 16.5, 17.78, 16.88]","[18.8, 18.2, 22.91, 24.69, 23.44]",False,163,COALINDIA,4,up
WELSPUNLIV.NS,162.23,0.47,131.52,8.13,-7.01,23.7,38,"[73, 63, 62, 60, 38]","[0.1, 1.81, 2.79, 3.86, 8.13]","[0.29, 5.15, 7.91, 10.93, 23.7]",False,164,WELSPUNLIV,-59,down
MINDACORP.NS,652.95,1.45,561.74,11.93,-7.15,24.16,38,"[54, 45, 40, 45, 38]","[5.56, 7.81, 9.35, 8.88, 11.93]","[11.26, 15.94, 18.97, 18.05, 24.16]",False,165,MINDACORP,-21,down
ANGELONE.NS,353.7,0.0,280.14,9.63,-7.42,25.08,38,"[58, 46, 46, 41, 38]","[3.71, 5.7, 6.61, 8.11, 9.63]","[9.68, 14.94, 17.27, 21.14, 25.08]",False,166,ANGELONE,-11,down
UNIONBANK.NS,175.76,13.11,166.38,12.49,-7.5,25.35,37,"[51, 45, 47, 39, 37]","[6.84, 7.8, 8.43, 11.25, 12.49]","[13.93, 15.89, 17.17, 22.84, 25.35]",False,167,UNIONBANK,-7,down
BOSCHLTD.NS,40195.0,3.13,36398.59,14.3,-7.83,26.46,37,"[36, 35, 35, 35, 37]","[13.76, 13.04, 13.81, 13.99, 14.3]","[25.5, 24.16, 25.56, 25.89, 26.46]",False,168,BOSCHLTD,2,up
CANBK.NS,133.74,13.07,132.46,14.43,-7.83,26.48,37,"[38, 36, 37]","[12.49, 13.79, 14.43]","[22.91, 25.34, 26.48]",False,169,CANBK,-1,down
FORTIS.NS,962.95,12.29,918.73,16.25,-7.87,26.6,36,"[34, 31, 31, 35, 36]","[16.68, 17.39, 16.93, 15.93, 16.25]","[27.3, 28.4, 27.66, 26.1, 26.6]",False,170,FORTIS,1,up
GLAND.NS,2199.0,5.78,1903.07,13.99,-7.92,26.78,36,"[25, 27, 28, 29, 36]","[19.23, 16.94, 16.36, 16.13, 13.99]","[37.16, 32.82, 31.72, 31.27, 26.78]",True,171,GLAND,15,up
YESBANK.NS,25.41,0.27,21.35,16.04,-8.11,27.43,35,"[55, 47, 47, 37, 35]","[6.28, 8.79, 10.1, 14.35, 16.04]","[10.51, 14.82, 16.99, 24.55, 27.43]",False,172,YESBANK,-6,down
CGCL.NS,220.96,0.0,185.57,13.71,-8.2,27.73,35,"[46, 39, 36, 34, 35]","[8.2, 9.42, 12.25, 13.41, 13.71]","[16.61, 19.15, 24.82, 27.1, 27.73]",False,173,CGCL,0,stable
DELHIVERY.NS,461.1,4.9,440.25,15.03,-8.44,28.53,35,"[42, 35, 34, 35, 35]","[10.64, 12.65, 13.78, 13.37, 15.03]","[20.19, 24.12, 26.2, 25.41, 28.53]",False,174,DELHIVERY,-5,down
SONACOMS.NS,613.8,0.79,532.11,14.8,-8.5,28.73,34,"[47, 46, 44, 42, 34]","[7.93, 7.98, 9.16, 10.53, 14.8]","[15.56, 15.66, 17.96, 20.6, 28.73]",False,175,SONACOMS,-22,down
JBCHEPHARM.NS,2193.5,2.84,1974.43,20.39,-8.54,28.87,34,"[24, 28, 32, 33, 34]","[26.24, 21.89, 19.41, 20.1, 20.39]","[37.38, 31.04, 27.51, 28.47, 28.87]",True,176,JBCHEPHARM,0,stable
JSWSTEEL.NS,1287.7,1.92,1209.51,20.05,-8.63,29.16,34,"[33, 29, 30, 30, 34]","[20.41, 19.98, 19.43, 21.08, 20.05]","[29.71, 29.08, 28.33, 30.73, 29.16]",False,177,JSWSTEEL,7,up
OLECTRA.NS,1520.3,9.02,1220.12,10.11,-8.79,29.71,33,"[63, 65, 67, 52, 33]","[2.21, 1.59, 1.91, 4.86, 10.11]","[6.32, 4.56, 5.47, 14.06, 29.71]",False,178,OLECTRA,-53,down
AEGISLOG.NS,1007.8,0.0,729.88,11.84,-8.83,29.86,33,"[42, 36, 36, 32, 33]","[7.62, 9.48, 9.57, 11.38, 11.84]","[19.15, 23.96, 24.17, 28.77, 29.86]",False,179,AEGISLOG,-2,down
TITAN.NS,4419.9,2.34,4083.47,20.3,-8.92,30.17,32,"[43, 37, 34, 33, 32]","[12.82, 14.26, 17.49, 19.09, 20.3]","[19.08, 21.31, 26.02, 28.4, 30.17]",False,180,TITAN,-5,down
METROPOLIS.NS,552.75,1.08,493.59,15.69,-9.11,30.82,32,"[37, 33, 38, 32, 32]","[12.87, 12.7, 11.62, 14.74, 15.69]","[25.41, 25.07, 22.84, 28.92, 30.82]",False,181,METROPOLIS,-3,down
BANKINDIA.NS,146.57,14.58,140.55,15.67,-9.2,31.09,32,"[39, 32, 33, 31, 32]","[11.78, 13.2, 13.57, 15.07, 15.67]","[23.45, 26.25, 26.97, 29.93, 31.09]",False,182,BANKINDIA,-1,down
GMRAIRPORT.NS,108.83,1.56,96.96,16.78,-9.32,31.5,31,"[41, 32, 29, 26, 31]","[11.57, 13.89, 16.59, 18.64, 16.78]","[21.83, 26.3, 31.25, 35.13, 31.5]",False,183,GMRAIRPORT,11,up
ADANIPORTS.NS,1835.3,0.37,1564.14,19.04,-9.58,32.37,31,"[38, 33, 32, 30, 31]","[14.12, 14.67, 15.92, 18.06, 19.04]","[24.13, 25.05, 27.17, 30.7, 32.37]",False,184,ADANIPORTS,-1,down
STARHEALTH.NS,580.25,0.0,486.02,21.83,-9.6,32.45,31,"[52, 50, 50, 42, 31]","[8.73, 9.78, 10.08, 14.05, 21.83]","[12.61, 14.17, 14.58, 20.28, 32.45]",False,185,STARHEALTH,-33,down
SBIN.NS,1035.1,14.18,995.83,23.52,-9.76,33.0,30,"[35, 31, 31, 28, 30]","[19.05, 19.6, 20.15, 22.79, 23.52]","[26.73, 27.51, 28.25, 31.89, 33.0]",False,186,SBIN,3,up
TATASTEEL.NS,198.96,8.17,190.89,19.55,-9.78,33.07,30,"[33, 30, 29, 27, 30]","[17.5, 16.92, 18.23, 19.79, 19.55]","[29.72, 28.73, 30.84, 33.51, 33.07]",False,187,TATASTEEL,4,up
CARBORUNIV.NS,1241.7,0.0,924.06,15.25,-9.79,33.1,29,"[54, 53, 49, 43, 29]","[5.41, 5.85, 7.04, 9.13, 15.25]","[11.37, 12.3, 14.77, 19.45, 33.1]",False,188,CARBORUNIV,-39,down
AUBANK.NS,1033.05,3.06,948.07,18.47,-9.99,33.78,29,"[30, 27, 28, 27, 29]","[17.93, 18.39, 17.2, 18.0, 18.47]","[32.84, 33.71, 31.55, 32.98, 33.78]",False,189,AUBANK,1,up
EMCURE.NS,1776.0,0.96,1554.69,16.5,-10.04,33.94,29,"[31, 34, 33, 34, 29]","[14.7, 12.11, 12.8, 13.13, 16.5]","[30.27, 24.91, 26.36, 27.02, 33.94]",False,190,EMCURE,-18,down
GLENMARK.NS,2213.6,8.45,2128.02,17.68,-10.12,34.23,28,"[27, 27, 27, 33, 28]","[18.03, 16.65, 16.47, 14.63, 17.68]","[34.88, 32.19, 31.86, 28.26, 34.23]",False,191,GLENMARK,-17,down
NMDC.NS,88.42,7.93,82.19,19.75,-10.24,34.61,28,"[34, 34, 33, 30, 28]","[15.74, 14.07, 15.3, 17.41, 19.75]","[27.81, 24.99, 27.09, 30.65, 34.61]",False,192,NMDC,-10,down
AUROPHARMA.NS,1497.8,3.16,1299.22,21.53,-10.49,35.48,28,"[36, 37, 38, 37, 28]","[16.26, 13.28, 13.03, 14.69, 21.53]","[26.26, 21.76, 21.36, 24.13, 35.48]",False,193,AUROPHARMA,-29,down
ACMESOLAR.NS,337.65,5.33,274.25,14.37,-10.57,35.75,27,"[29, 24, 23, 25, 27]","[13.29, 14.98, 15.84, 14.24, 14.37]","[33.01, 37.32, 39.35, 35.44, 35.75]",False,194,ACMESOLAR,2,up
THERMAX.NS,4702.4,5.82,3700.42,16.77,-10.61,35.88,27,"[29, 26, 27, 26, 27]","[15.61, 15.92, 15.22, 16.35, 16.77]","[33.41, 34.07, 32.57, 35.0, 35.88]",False,195,THERMAX,-2,down
HONASA.NS,417.4,0.61,325.98,18.9,-10.95,37.03,26,"[32, 30, 31, 29, 26]","[15.28, 14.61, 14.27, 15.72, 18.9]","[29.89, 28.62, 27.96, 30.74, 37.03]",False,196,HONASA,-11,down
CUB.NS,196.65,13.11,192.54,16.07,-11.02,37.26,26,"[31, 25, 21, 23, 26]","[13.63, 14.8, 18.02, 16.18, 16.07]","[31.61, 34.19, 41.67, 37.5, 37.26]",False,197,CUB,4,up
