symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rs_h,vol_h,perf_h,rs_up,rank,symbol_clean,rank_diff,rank_status
CROMPTON.NS,275.25,22.38,269.45,-11.89,6.08,-20.55,100,"[98, 100]","[-11.02, -11.89]","[-19.06, -20.55]",True,1,CROMPTON,4,up
COFORGE.NS,1463.3,25.84,1459.93,-8.53,5.9,-19.94,100,"[98, 98, 100]","[-7.41, -7.55, -8.53]","[-17.35, -17.67, -19.94]",False,2,COFORGE,6,up
PCBL.NS,309.5,27.57,302.46,-7.3,5.84,-19.75,99,"[100, 99, 100, 99]","[-9.21, -8.32, -8.15, -7.3]","[-24.97, -22.53, -22.08, -19.75]",False,3,PCBL,-1,down
AAVAS.NS,1471.9,29.66,1407.3,-9.92,5.7,-19.27,99,[99],[-9.92],[-19.27],False,4,AAVAS,0,new
ERIS.NS,1448.4,19.84,1437.39,-9.54,5.48,-18.54,98,[98],[-9.54],[-18.54],False,5,ERIS,0,new
CDSL.NS,1370.3,23.46,1347.03,-9.0,5.35,-18.1,98,[98],[-9.0],[-18.1],False,6,CDSL,0,new
ACE.NS,975.65,20.14,924.58,-8.38,5.24,-17.72,98,"[100, 100, 100, 99, 98]","[-12.07, -12.29, -11.46, -9.29, -8.38]","[-25.48, -25.94, -24.12, -19.63, -17.72]",False,7,ACE,-3,down
ELECON.NS,539.05,18.06,486.34,-5.98,4.98,-16.83,97,"[100, 98, 98, 97, 97]","[-7.84, -6.19, -5.84, -5.8, -5.98]","[-21.93, -17.38, -16.39, -16.27, -16.83]",False,8,ELECON,1,up
ZEEL.NS,113.36,22.67,94.33,-5.72,4.63,-15.65,97,"[93, 97, 97, 98, 97]","[-4.51, -6.01, -5.71, -6.67, -5.72]","[-12.28, -16.43, -15.62, -18.23, -15.65]",False,9,ZEEL,-3,down
GODREJIND.NS,1112.4,17.51,1029.94,-6.29,4.63,-15.66,97,"[99, 96, 99, 98, 97]","[-8.73, -6.57, -7.26, -7.17, -6.29]","[-21.53, -16.21, -17.9, -17.67, -15.66]",False,10,GODREJIND,-3,down
FACT.NS,884.85,14.72,868.02,-5.34,4.18,-14.15,96,"[95, 94, 79, 81, 96]","[-5.96, -5.62, -1.2, -1.79, -5.34]","[-15.08, -14.22, -3.13, -4.67, -14.15]",False,11,FACT,40,up
APTUS.NS,269.75,23.72,264.52,-6.83,4.08,-13.79,96,"[97, 94, 96, 95, 96]","[-8.1, -7.19, -7.2, -7.0, -6.83]","[-16.38, -14.51, -14.54, -14.13, -13.79]",False,12,APTUS,3,up
MGL.NS,1209.0,19.73,1128.25,-7.22,4.03,-13.62,95,"[98, 93, 86, 95]","[-9.11, -5.97, -4.14, -7.22]","[-17.29, -11.39, -7.91, -13.62]",False,13,MGL,24,up
TRIDENT.NS,25.93,18.06,25.56,-6.9,3.96,-13.39,95,[95],[-6.9],[-13.39],False,14,TRIDENT,0,new
SAREGAMA.NS,465.9,13.25,387.81,-5.45,3.92,-13.25,95,"[98, 95, 94, 96, 95]","[-7.26, -6.04, -5.56, -6.04, -5.45]","[-17.64, -14.67, -13.49, -14.68, -13.25]",False,15,SAREGAMA,-4,down
IRB.NS,21.44,14.03,21.25,-7.5,3.67,-12.4,94,"[96, 95, 94]","[-9.13, -8.57, -7.5]","[-15.12, -14.18, -12.4]",False,16,IRB,-2,down
BALRAMCHIN.NS,531.6,14.0,497.83,-5.87,3.47,-11.74,94,"[91, 89, 89, 90, 94]","[-5.97, -5.33, -4.18, -4.9, -5.87]","[-11.77, -10.53, -8.26, -9.71, -11.74]",False,17,BALRAMCHIN,11,up
HAL.NS,4408.1,11.64,4322.39,-6.83,3.44,-11.64,94,"[91, 94]","[-5.99, -6.83]","[-10.21, -11.64]",True,18,HAL,6,up
PRESTIGE.NS,1497.3,17.0,1460.11,-5.81,3.42,-11.55,93,"[90, 87, 87, 93]","[-5.82, -3.59, -4.03, -5.81]","[-11.54, -7.15, -8.02, -11.55]",False,19,PRESTIGE,17,up
PAGEIND.NS,39975.0,17.99,37026.68,-7.67,3.41,-11.53,93,"[97, 96, 95, 93, 93]","[-10.73, -9.93, -9.54, -9.11, -7.67]","[-16.06, -14.89, -14.3, -13.66, -11.53]",False,20,PAGEIND,-2,down
OBEROIRLTY.NS,1683.5,14.94,1624.48,-6.99,3.4,-11.48,92,"[95, 92, 90, 92, 92]","[-9.18, -7.17, -5.69, -6.39, -6.99]","[-14.96, -11.75, -9.36, -10.51, -11.48]",False,21,OBEROIRLTY,0,stable
GRSE.NS,2798.3,19.32,2588.78,-3.67,3.32,-11.21,92,"[98, 93, 91, 86, 92]","[-5.72, -4.33, -3.27, -2.46, -3.67]","[-17.56, -13.25, -9.95, -7.53, -11.21]",False,22,GRSE,16,up
RCF.NS,136.65,13.92,132.31,-5.08,3.29,-11.11,92,"[93, 92]","[-5.81, -5.08]","[-12.7, -11.11]",False,23,RCF,-4,down
CHAMBLFERT.NS,484.2,14.1,461.56,-6.09,3.27,-11.05,91,"[95, 94, 88, 90, 91]","[-8.3, -7.89, -4.5, -5.46, -6.09]","[-15.08, -14.34, -8.18, -9.91, -11.05]",False,24,CHAMBLFERT,3,up
MAXHEALTH.NS,1094.75,15.78,1048.34,-6.38,3.15,-10.66,91,[91],[-6.38],[-10.66],False,25,MAXHEALTH,0,new
UCOBANK.NS,27.58,16.5,27.19,-5.99,3.13,-10.59,91,"[88, 91]","[-4.78, -5.99]","[-8.43, -10.59]",True,26,UCOBANK,8,up
IKS.NS,1675.2,9.73,1579.24,-4.64,2.88,-9.73,90,"[70, 76, 83, 85, 90]","[0.77, -1.26, -2.29, -2.92, -4.64]","[1.66, -2.7, -4.91, -6.26, -9.73]",True,27,IKS,14,up
ATUL.NS,6482.0,15.49,6470.67,-5.98,2.8,-9.48,90,[90],[-5.98],[-9.48],False,28,ATUL,0,new
HOMEFIRST.NS,1153.9,21.62,1121.25,-3.72,2.77,-9.37,89,"[87, 88, 89]","[-2.96, -3.66, -3.72]","[-7.48, -9.22, -9.37]",True,29,HOMEFIRST,2,up
TEJASNET.NS,632.35,11.98,476.94,-2.53,2.67,-9.04,89,"[97, 99, 98, 95, 89]","[-4.5, -5.13, -4.79, -4.0, -2.53]","[-15.97, -18.21, -17.0, -14.24, -9.04]",False,30,TEJASNET,-17,down
INDGN.NS,532.4,9.69,508.94,-5.04,2.48,-8.38,89,"[92, 96, 95, 94, 89]","[-7.26, -9.07, -8.2, -8.37, -5.04]","[-12.21, -15.08, -13.61, -13.91, -8.38]",False,31,INDGN,-15,down
SUZLON.NS,59.2,12.58,51.99,-4.04,2.44,-8.25,88,"[99, 98, 94, 88, 88]","[-9.54, -8.77, -5.8, -4.13, -4.04]","[-19.34, -17.78, -11.81, -8.44, -8.25]",False,32,SUZLON,1,up
RKFORGE.NS,588.7,13.7,554.0,-3.71,2.34,-7.92,88,"[91, 90, 93, 90, 88]","[-5.62, -5.05, -5.13, -4.67, -3.71]","[-12.01, -10.76, -10.94, -9.96, -7.92]",False,33,RKFORGE,-7,down
CASTROLIND.NS,185.8,15.0,184.78,-7.86,2.31,-7.79,88,[88],[-7.86],[-7.79],False,34,CASTROLIND,0,new
CERA.NS,6448.0,8.57,5505.19,-4.3,2.28,-7.72,87,"[92, 88, 92, 93, 87]","[-6.83, -5.49, -5.95, -6.32, -4.3]","[-12.06, -9.71, -10.54, -11.19, -7.72]",False,35,CERA,-15,down
LICHSGFIN.NS,549.9,12.33,542.55,-4.32,2.03,-6.85,87,"[85, 87, 86, 85, 87]","[-4.95, -5.72, -4.38, -4.12, -4.32]","[-7.89, -9.13, -6.96, -6.54, -6.85]",False,36,LICHSGFIN,4,up
MAHSEAMLES.NS,630.65,16.11,598.47,-4.17,1.99,-6.71,86,"[89, 90, 92, 91, 86]","[-6.18, -6.94, -6.47, -6.37, -4.17]","[-9.96, -11.13, -10.35, -10.18, -6.71]",False,37,MAHSEAMLES,-12,down
NBCC.NS,111.45,10.19,100.37,-2.98,1.96,-6.63,86,"[96, 92, 89, 83, 86]","[-6.86, -5.9, -4.06, -2.64, -2.98]","[-15.18, -13.07, -8.98, -5.87, -6.63]",False,38,NBCC,7,up
KOTAKBANK.NS,399.25,10.35,398.87,-4.86,1.91,-6.47,86,"[81, 79, 81, 78, 86]","[-4.61, -3.99, -3.0, -2.94, -4.86]","[-6.15, -5.32, -4.01, -3.92, -6.47]",False,39,KOTAKBANK,18,up
RECLTD.NS,355.35,7.5,350.43,-3.72,1.82,-6.16,85,"[91, 87, 84, 85]","[-6.93, -4.36, -3.68, -3.72]","[-11.55, -7.23, -6.1, -6.16]",False,40,RECLTD,3,up
LICI.NS,440.15,8.31,416.85,-3.97,1.73,-5.86,85,"[89, 85]","[-6.63, -3.97]","[-9.66, -5.86]",False,41,LICI,-11,down
GAIL.NS,173.9,6.75,163.83,-3.39,1.57,-5.31,85,"[88, 86, 83, 82, 85]","[-6.09, -5.73, -3.18, -3.28, -3.39]","[-9.63, -9.08, -4.97, -5.13, -5.31]",False,42,GAIL,4,up
INDIGO.NS,5021.5,18.42,4822.85,-2.59,1.56,-5.28,84,"[93, 94, 85, 84]","[-6.4, -5.59, -3.5, -2.59]","[-13.18, -11.47, -7.13, -5.28]",False,43,INDIGO,-4,down
PNBHOUSING.NS,1003.0,9.2,932.6,-2.18,1.48,-5.0,84,"[90, 86, 85, 80, 84]","[-5.06, -3.83, -2.64, -1.94, -2.18]","[-11.65, -8.85, -6.07, -4.45, -5.0]",False,44,PNBHOUSING,9,up
ICICIBANK.NS,1346.5,8.85,1329.1,-4.04,1.38,-4.66,83,"[84, 82, 83]","[-4.9, -4.22, -4.04]","[-5.66, -4.87, -4.66]",False,45,ICICIBANK,4,up
HUDCO.NS,208.65,12.99,204.92,-2.25,1.35,-4.56,83,"[93, 89, 83, 78, 83]","[-6.47, -4.84, -2.48, -1.86, -2.25]","[-13.21, -9.87, -5.03, -3.78, -4.56]",False,46,HUDCO,12,up
ALKYLAMINE.NS,1845.4,23.04,1657.23,-1.79,1.34,-4.54,83,"[86, 88, 91, 87, 83]","[-3.4, -3.78, -3.98, -3.29, -1.79]","[-8.61, -9.59, -10.11, -8.35, -4.54]",False,47,ALKYLAMINE,-12,down
INDHOTEL.NS,724.75,10.17,678.39,-2.54,1.16,-3.93,82,"[93, 88, 85, 80, 82]","[-8.06, -6.18, -4.18, -2.98, -2.54]","[-12.6, -9.65, -6.49, -4.62, -3.93]",False,48,INDHOTEL,4,up
ITI.NS,312.45,12.39,294.59,-1.25,0.91,-3.07,82,"[86, 84, 88, 81, 82]","[-3.75, -3.22, -3.23, -1.95, -1.25]","[-9.19, -7.9, -7.93, -4.77, -3.07]",False,49,ITI,1,up
DRREDDY.NS,1272.1,6.09,1270.74,-2.06,0.87,-2.93,82,[82],[-2.06],[-2.93],False,50,DRREDDY,0,new
REDINGTON.NS,280.76,12.95,246.09,-0.9,0.84,-2.84,81,"[94, 81]","[-4.47, -0.9]","[-13.84, -2.84]",False,51,REDINGTON,-34,down
IGIL.NS,355.75,13.41,342.11,-0.91,0.65,-2.19,81,"[83, 82, 82, 84, 81]","[-2.82, -2.69, -2.0, -2.59, -0.91]","[-6.79, -6.47, -4.81, -6.24, -2.19]",False,52,IGIL,-10,down
ICICIGI.NS,1870.1,8.74,1846.19,-1.29,0.51,-1.74,80,[80],[-1.29],[-1.74],False,53,ICICIGI,0,new
HONAUT.NS,37460.0,9.08,33110.58,-0.76,0.42,-1.43,80,"[84, 83, 81, 79, 80]","[-3.71, -3.91, -1.93, -2.29, -0.76]","[-6.98, -7.35, -3.63, -4.3, -1.43]",False,54,HONAUT,0,stable
BERGEPAINT.NS,550.7,7.62,497.75,-0.7,0.36,-1.22,80,"[87, 84, 90, 89, 80]","[-5.8, -4.78, -5.87, -5.89, -0.7]","[-9.48, -7.81, -9.61, -9.65, -1.22]",False,55,BERGEPAINT,-26,down
ASTRAL.NS,1542.1,11.69,1526.75,-0.61,0.34,-1.13,79,"[71, 68, 70, 79]","[0.83, 2.48, 1.46, -0.61]","[1.53, 4.6, 2.7, -1.13]",False,56,ASTRAL,24,up
NH.NS,1878.7,16.79,1828.87,-0.51,0.31,-1.05,79,"[66, 69, 72, 78, 79]","[2.23, 1.09, 1.11, -1.66, -0.51]","[4.66, 2.26, 2.32, -3.43, -1.05]",True,57,NH,2,up
AEGISVOPAK.NS,238.35,18.75,218.0,-0.05,0.04,-0.14,78,"[94, 85, 77, 73, 78]","[-5.09, -2.8, -0.61, 0.36, -0.05]","[-14.29, -7.96, -1.73, 1.01, -0.14]",False,58,AEGISVOPAK,13,up
EXIDEIND.NS,380.75,10.9,357.11,-0.03,0.02,-0.05,78,"[76, 76, 75, 72, 78]","[-1.4, -1.23, -0.55, 0.84, -0.03]","[-2.43, -2.13, -0.95, 1.45, -0.05]",False,59,EXIDEIND,14,up
CAMS.NS,823.15,2.56,744.84,0.02,-0.01,0.04,78,"[88, 82, 76, 69, 78]","[-5.13, -3.49, -0.61, 1.63, 0.02]","[-9.66, -6.59, -1.15, 3.05, 0.04]",False,60,CAMS,21,up
DEEPAKFERT.NS,1563.3,9.69,1273.93,0.31,-0.24,0.83,77,"[72, 77, 76, 74, 77]","[0.31, -1.37, -0.41, 0.18, 0.31]","[0.8, -3.6, -1.08, 0.47, 0.83]",False,61,DEEPAKFERT,8,up
360ONE.NS,1145.1,7.61,1088.01,0.55,-0.29,1.0,77,"[66, 63, 67, 73, 77]","[2.36, 2.77, 3.21, 0.42, 0.55]","[4.38, 5.16, 5.97, 0.77, 1.0]",False,62,360ONE,8,up
TRIVENI.NS,403.55,3.89,375.5,0.81,-0.48,1.64,77,"[89, 82, 84, 77, 77]","[-5.2, -3.44, -2.49, -1.35, 0.81]","[-10.52, -6.99, -5.05, -2.75, 1.64]",False,63,TRIVENI,-3,down
PETRONET.NS,288.7,9.7,274.87,0.99,-0.54,1.84,76,"[83, 77, 73, 72, 76]","[-3.55, -1.69, 0.16, 0.9, 0.99]","[-6.53, -3.14, 0.3, 1.67, 1.84]",False,64,PETRONET,10,up
TATATECH.NS,742.25,3.33,638.67,1.12,-0.57,1.94,76,"[76, 73, 71, 67, 76]","[-1.07, -0.06, 1.41, 2.47, 1.12]","[-1.85, -0.11, 2.45, 4.28, 1.94]",False,65,TATATECH,22,up
JSWINFRA.NS,308.15,9.82,275.02,1.1,-0.59,2.0,75,"[82, 79, 80, 75, 75]","[-3.43, -2.81, -1.79, -0.43, 1.1]","[-6.22, -5.09, -3.24, -0.79, 2.0]",False,66,JSWINFRA,0,stable
TATAPOWER.NS,402.35,12.87,398.27,1.67,-0.65,2.19,75,"[75, 73, 72, 75]","[-1.02, 0.56, 1.28, 1.67]","[-1.35, 0.74, 1.68, 2.19]",False,67,TATAPOWER,8,up
GRAVITA.NS,1721.6,9.29,1638.88,1.12,-0.74,2.49,75,"[87, 88, 82, 75]","[-4.15, -3.4, -2.21, 1.12]","[-9.3, -7.61, -4.93, 2.49]",False,68,GRAVITA,-20,down
ZENTEC.NS,1997.0,0.0,1526.79,1.09,-0.77,2.6,74,"[90, 86, 78, 79, 74]","[-4.84, -3.47, -1.03, -1.81, 1.09]","[-11.58, -8.27, -2.45, -4.31, 2.6]",False,69,ZENTEC,-14,down
MANKIND.NS,2414.2,10.43,2278.8,1.64,-0.78,2.63,74,"[74, 72, 77, 75, 74]","[0.15, 0.06, -0.86, -0.43, 1.64]","[0.24, 0.1, -1.38, -0.68, 2.63]",False,70,MANKIND,-3,down
MMTC.NS,74.55,1.95,64.06,1.19,-1.01,3.41,74,"[80, 78, 65, 62, 74]","[-2.12, -1.27, 2.18, 3.2, 1.19]","[-6.03, -3.61, 6.29, 9.24, 3.41]",False,71,MMTC,28,up
OFSS.NS,9638.5,6.82,8227.0,1.77,-1.02,3.45,73,"[67, 67, 67, 67, 73]","[1.36, 1.96, 2.82, 2.09, 1.77]","[2.65, 3.83, 5.5, 4.08, 3.45]",False,72,OFSS,14,up
DIVISLAB.NS,6743.0,3.0,6416.29,2.59,-1.07,3.61,73,"[74, 74, 74, 74, 73]","[-0.06, -0.86, 0.19, 0.29, 2.59]","[-0.09, -1.2, 0.27, 0.4, 3.61]",False,73,DIVISLAB,-5,down
JBMA.NS,727.3,1.94,618.06,1.31,-1.07,3.6,73,"[83, 80, 80, 75, 73]","[-2.32, -1.99, -1.22, -0.39, 1.31]","[-6.41, -5.48, -3.37, -1.07, 3.6]",False,74,JBMA,-9,down
TORNTPOWER.NS,1438.4,18.57,1425.66,1.92,-1.08,3.66,72,[72],[1.92],[3.66],False,75,TORNTPOWER,0,new
RAINBOW.NS,1470.8,9.43,1304.66,2.61,-1.18,3.97,72,"[78, 70, 78, 71, 72]","[-2.25, 1.39, -1.46, 1.18, 2.61]","[-3.48, 2.18, -2.24, 1.81, 3.97]",False,76,RAINBOW,0,stable
BAJFINANCE.NS,961.8,12.1,941.42,2.29,-1.24,4.2,71,"[73, 71, 70, 71]","[-0.01, 1.33, 1.48, 2.29]","[-0.02, 2.43, 2.71, 4.2]",False,77,BAJFINANCE,2,up
TITAGARH.NS,922.45,4.17,794.11,1.87,-1.28,4.34,71,"[86, 85, 77, 70, 71]","[-3.86, -3.46, -0.87, 1.08, 1.87]","[-8.93, -8.01, -2.01, 2.52, 4.34]",False,78,TITAGARH,0,stable
POWERGRID.NS,292.25,8.93,289.12,3.69,-1.36,4.59,71,[71],[3.69],[4.59],False,79,POWERGRID,0,new
LINDEINDIA.NS,7460.5,4.93,6757.18,2.95,-1.55,5.23,70,"[80, 80, 79, 76, 70]","[-2.86, -3.14, -1.48, -0.75, 2.95]","[-5.04, -5.52, -2.6, -1.31, 5.23]",False,80,LINDEINDIA,-18,down
MFSL.NS,1669.3,10.73,1644.02,3.33,-1.56,5.27,70,[70],[3.33],[5.27],False,81,MFSL,0,new
SOLARINDS.NS,18052.0,3.22,15020.7,2.67,-1.57,5.29,69,"[71, 66, 73, 68, 69]","[0.74, 2.15, 0.78, 1.85, 2.67]","[1.46, 4.22, 1.54, 3.66, 5.29]",False,82,SOLARINDS,1,up
KPRMILL.NS,1159.75,6.44,962.17,2.05,-1.6,5.41,69,"[79, 81, 81, 79, 69]","[-1.86, -2.34, -1.78, -1.71, 2.05]","[-4.63, -5.82, -4.42, -4.24, 5.41]",False,83,KPRMILL,-27,down
PIDILITIND.NS,1579.9,0.08,1453.71,4.18,-1.6,5.41,69,"[73, 68, 69, 66, 69]","[0.32, 2.6, 2.96, 4.24, 4.18]","[0.41, 3.38, 3.84, 5.5, 5.41]",False,84,PIDILITIND,5,up
CHOICEIN.NS,726.1,14.61,721.2,2.76,-1.64,5.55,68,[68],[2.76],[5.55],False,85,CHOICEIN,0,new
DMART.NS,4286.9,11.23,4131.46,3.58,-1.66,5.61,68,"[70, 65, 68]","[2.0, 3.71, 3.58]","[3.12, 5.81, 5.61]",False,86,DMART,6,up
AARTIIND.NS,484.5,5.57,431.87,2.82,-1.96,6.63,68,"[85, 65, 66, 68, 68]","[-3.8, 1.9, 2.56, 1.69, 2.82]","[-8.33, 4.45, 6.0, 3.98, 6.63]",False,87,AARTIIND,-3,down
