symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,symbol_clean,rank_diff,rank_status
AXISBANK.NS,1388.8,1.01,1255.96,13.2,4.74,19.69,45,139,AXISBANK,-11,down
COALINDIA.NS,444.5,5.45,408.88,14.27,4.63,19.16,44,140,COALINDIA,-5,down
JKCEMENT.NS,5994.0,20.49,5747.95,9.51,4.56,18.96,44,141,JKCEMENT,6,up
NEULANDLAB.NS,15135.0,16.44,14117.22,6.65,4.52,18.81,43,142,NEULANDLAB,0,stable
NSLNISP.NS,42.41,11.03,40.56,7.33,4.48,18.6,43,143,NSLNISP,-3,down
NESTLEIND.NS,1397.8,0.0,1242.4,14.23,4.43,18.43,43,144,NESTLEIND,0,stable
CESC.NS,180.09,1.08,160.94,9.83,4.35,18.05,42,145,CESC,-2,down
BEML.NS,1823.0,23.73,1800.4,6.47,4.26,17.71,42,146,BEML,0,new
VOLTAS.NS,1492.5,4.41,1387.03,9.49,4.24,17.52,41,147,VOLTAS,17,up
HSCL.NS,519.4,0.0,465.23,8.55,4.14,17.17,41,148,HSCL,21,up
ENRIN.NS,3189.0,11.43,2884.92,7.98,4.04,16.79,41,149,ENRIN,-4,down
ZENTEC.NS,1763.4,20.8,1444.15,6.84,4.03,16.64,40,150,ZENTEC,2,up
AGARWALEYE.NS,466.6,14.5,458.38,9.04,4.02,16.72,40,151,AGARWALEYE,0,new
VTL.NS,571.35,0.0,479.53,7.34,3.96,16.44,39,152,VTL,-1,down
AMBER.NS,7847.5,7.96,7103.93,6.73,3.93,16.35,39,153,AMBER,9,up
ATUL.NS,6625.0,13.63,6302.29,9.86,3.93,16.3,39,154,ATUL,-6,down
AARTIIND.NS,468.65,3.46,408.21,7.38,3.92,16.25,38,155,AARTIIND,10,up
ALKEM.NS,5700.0,2.45,5443.52,11.5,3.88,16.09,38,156,ALKEM,-6,down
NTPC.NS,405.85,0.0,351.4,13.71,3.85,15.94,37,157,NTPC,15,up
LINDEINDIA.NS,7216.0,4.73,6505.17,8.47,3.84,15.93,37,158,LINDEINDIA,-3,down
PFC.NS,470.6,0.48,392.33,8.83,3.8,15.78,37,159,PFC,-1,down
TATAPOWER.NS,435.8,0.06,387.02,11.06,3.61,14.98,36,160,TATAPOWER,-4,down
METROPOLIS.NS,476.5,14.61,474.05,7.75,3.52,14.59,36,161,METROPOLIS,-20,down
ZYDUSLIFE.NS,930.45,11.2,925.68,11.39,3.49,14.48,35,162,ZYDUSLIFE,31,up
CGCL.NS,185.87,11.1,178.33,6.01,3.37,14.01,35,163,CGCL,0,stable
ITI.NS,305.35,16.31,292.83,5.03,3.33,13.85,35,164,ITI,-4,down
GMRAIRPORT.NS,97.31,10.19,94.97,7.21,3.28,13.63,34,165,GMRAIRPORT,2,up
ZFCVINDIA.NS,15291.0,4.28,14089.32,7.1,3.26,13.53,34,166,ZFCVINDIA,-13,down
PHOENIXLTD.NS,1811.8,7.13,1676.66,7.5,3.25,13.51,33,167,PHOENIXLTD,-18,down
DCMSHRIRAM.NS,1201.6,15.96,1163.12,5.96,3.21,13.37,33,168,DCMSHRIRAM,-7,down
TRITURBINE.NS,572.5,13.55,510.62,5.86,3.03,12.54,33,169,TRITURBINE,-3,down
BANDHANBNK.NS,176.57,6.04,161.41,5.54,3.01,12.48,32,170,BANDHANBNK,-11,down
APOLLOHOSP.NS,7718.0,3.54,7407.94,8.29,2.52,10.46,32,171,APOLLOHOSP,-1,down
INDUSINDBK.NS,870.1,9.8,846.28,5.88,2.5,10.38,31,172,INDUSINDBK,-18,down
JSWENERGY.NS,560.0,0.0,500.27,5.56,2.49,10.3,31,173,JSWENERGY,15,up
FINCABLES.NS,979.25,0.31,826.58,5.43,2.47,10.27,31,174,FINCABLES,12,up
DIVISLAB.NS,6286.5,9.57,6268.14,6.51,2.35,9.75,30,175,DIVISLAB,-1,down
IGIL.NS,362.8,11.69,335.22,3.97,2.28,9.46,30,176,IGIL,2,up
DMART.NS,4600.0,4.75,4068.41,5.68,2.16,8.97,29,177,DMART,0,stable
MARICO.NS,772.95,4.62,743.26,7.22,2.01,8.36,29,178,MARICO,3,up
POWERGRID.NS,319.35,0.11,283.73,5.92,1.9,7.86,29,179,POWERGRID,0,stable
OFSS.NS,8109.5,15.38,7694.29,4.01,1.89,7.82,28,180,OFSS,10,up
TATACONSUM.NS,1180.5,2.65,1126.14,5.84,1.81,7.54,28,181,TATACONSUM,16,up
NTPCGREEN.NS,113.2,2.96,96.94,3.86,1.69,7.03,27,182,NTPCGREEN,-14,down
OBEROIRLTY.NS,1741.7,12.11,1611.42,3.82,1.6,6.63,27,183,OBEROIRLTY,6,up
CENTURYPLY.NS,775.75,8.09,755.13,3.86,1.59,6.6,27,184,CENTURYPLY,11,up
IPCALAB.NS,1497.9,6.45,1446.62,3.46,1.56,6.46,26,185,IPCALAB,-3,down
KIRLOSBROS.NS,1732.5,26.26,1690.31,2.44,1.55,6.45,26,186,KIRLOSBROS,5,up
AKUMS.NS,530.2,10.74,475.67,3.22,1.5,6.22,25,187,AKUMS,-14,down
AJANTPHARM.NS,2766.7,11.31,2730.69,3.79,1.49,6.18,25,188,AJANTPHARM,-3,down
LALPATHLAB.NS,1457.2,15.7,1445.95,3.93,1.46,6.05,24,189,LALPATHLAB,0,new
NIVABUPA.NS,80.5,12.83,76.9,2.88,1.39,5.78,24,190,NIVABUPA,-10,down
KIMS.NS,681.5,13.66,673.22,2.86,1.34,5.59,24,191,KIMS,-8,down
PREMIERENE.NS,991.55,11.87,901.81,2.39,1.32,5.48,23,192,PREMIERENE,-5,down
HAL.NS,4388.1,13.42,4306.34,3.09,1.32,5.47,23,193,HAL,3,up
ASIANPAINT.NS,2562.0,13.69,2482.26,3.61,1.27,5.28,22,194,ASIANPAINT,-2,down
JUBLINGREA.NS,693.6,16.32,657.57,1.8,1.09,4.51,22,195,JUBLINGREA,23,up
TORNTPOWER.NS,1653.6,0.0,1379.11,2.41,1.07,4.45,22,196,TORNTPOWER,13,up
CENTRALBK.NS,36.89,8.78,36.69,2.44,1.03,4.29,21,197,CENTRALBK,0,new
VIJAYA.NS,1028.5,9.93,990.42,2.09,0.94,3.9,21,198,VIJAYA,2,up
ULTRACEMCO.NS,12109.0,7.22,11948.87,2.79,0.94,3.9,21,199,ULTRACEMCO,5,up
WOCKPHARMA.NS,1443.0,21.19,1380.66,1.16,0.87,3.63,20,200,WOCKPHARMA,15,up
GRASIM.NS,2777.0,6.14,2765.06,2.27,0.75,3.12,20,201,GRASIM,5,up
ATGL.NS,625.0,19.95,574.94,0.97,0.69,2.83,19,202,ATGL,11,up
TRIVENI.NS,409.05,8.37,370.18,1.31,0.67,2.77,19,203,TRIVENI,8,up
WELSPUNLIV.NS,133.71,11.01,127.09,0.81,0.6,2.47,18,204,WELSPUNLIV,-1,down
ONESOURCE.NS,1616.0,26.47,1590.22,0.78,0.52,2.16,18,205,ONESOURCE,0,new
ICICIBANK.NS,1371.6,7.15,1361.92,1.63,0.46,1.9,18,206,ICICIBANK,-5,down
HINDUNILVR.NS,2362.6,11.57,2330.29,1.32,0.4,1.67,17,207,HINDUNILVR,0,new
AADHARHFC.NS,492.55,8.76,480.44,0.93,0.37,1.54,17,208,AADHARHFC,-14,down
NH.NS,1816.5,19.55,1803.91,0.76,0.37,1.53,17,209,NH,-11,down
DEEPAKFERT.NS,1267.45,26.78,1212.9,0.55,0.34,1.42,16,210,DEEPAKFERT,2,up
BAYERCROP.NS,4790.8,24.15,4765.72,0.73,0.28,1.17,16,211,BAYERCROP,-6,down
HOMEFIRST.NS,1178.0,20.35,1138.5,0.22,0.13,0.56,15,212,HOMEFIRST,-13,down
PNBHOUSING.NS,990.55,11.6,881.3,-0.26,-0.15,-0.61,15,213,PNBHOUSING,-5,down
SUZLON.NS,54.01,24.44,50.66,-0.27,-0.15,-0.61,15,214,SUZLON,9,up
OLECTRA.NS,1223.6,26.77,1190.08,-0.23,-0.16,-0.66,14,215,OLECTRA,-13,down
MAZDOCK.NS,2696.0,27.68,2563.39,-0.29,-0.17,-0.7,14,216,MAZDOCK,-2,down
THELEELA.NS,432.35,7.1,425.19,-0.39,-0.18,-0.73,13,217,THELEELA,0,stable
NIACL.NS,163.85,19.09,159.69,-0.34,-0.21,-0.88,13,218,NIACL,-11,down
NHPC.NS,82.39,7.2,78.67,-0.7,-0.26,-1.1,12,219,NHPC,2,up
GICRE.NS,399.95,5.84,378.39,-1.03,-0.37,-1.53,12,220,GICRE,0,stable
MAHSEAMLES.NS,666.85,11.3,583.71,-1.0,-0.42,-1.72,12,221,MAHSEAMLES,3,up
IRCON.NS,155.6,28.45,155.37,-0.66,-0.43,-1.79,11,222,IRCON,0,new
CERA.NS,5522.2,21.7,5416.48,-1.0,-0.45,-1.88,11,223,CERA,0,new
CAMS.NS,751.8,11.01,728.6,-1.03,-0.46,-1.9,10,224,CAMS,-5,down
SUNTV.NS,650.65,2.63,576.33,-1.3,-0.64,-2.63,10,225,SUNTV,0,stable
LICHSGFIN.NS,561.05,10.55,539.53,-2.47,-0.93,-3.88,10,226,LICHSGFIN,-4,down
JINDALSAW.NS,245.15,8.68,190.89,-1.43,-0.98,-4.06,9,227,JINDALSAW,5,up
RECLTD.NS,383.9,8.58,353.66,-2.66,-1.14,-4.74,9,228,RECLTD,-1,down
EXIDEIND.NS,356.6,16.56,350.31,-2.96,-1.19,-4.92,8,229,EXIDEIND,0,new
IRB.NS,22.09,16.49,21.45,-3.01,-1.19,-4.91,8,230,IRB,-2,down
CARBORUNIV.NS,943.0,12.01,861.79,-2.95,-1.44,-6.0,8,231,CARBORUNIV,-2,down
UNITDSPR.NS,1396.8,12.33,1358.87,-4.11,-1.47,-6.1,7,232,UNITDSPR,2,up
BALRAMCHIN.NS,523.8,15.26,480.28,-3.31,-1.58,-6.56,7,233,BALRAMCHIN,-3,down
GAIL.NS,166.23,13.84,163.4,-4.19,-1.61,-6.66,6,234,GAIL,0,new
ADANIENT.NS,2252.5,15.84,2219.13,-3.16,-1.62,-6.71,6,235,ADANIENT,-2,down
CONCOR.NS,510.15,20.06,507.56,-4.54,-1.74,-7.23,6,236,CONCOR,0,new
BLUESTARCO.NS,1889.5,7.54,1809.28,-3.8,-1.81,-7.54,5,237,BLUESTARCO,-6,down
ARE&M.NS,910.25,15.52,879.86,-4.06,-1.83,-7.58,5,238,ARE&M,0,new
JSWINFRA.NS,277.74,18.97,275.11,-5.2,-2.2,-9.15,4,239,JSWINFRA,-4,down
JBMA.NS,627.55,15.39,601.88,-3.4,-2.29,-9.55,4,240,JBMA,-24,down
VBL.NS,495.5,10.72,458.08,-5.11,-2.29,-9.49,4,241,VBL,-4,down
AEGISLOG.NS,714.9,22.37,707.86,-4.55,-2.5,-10.39,3,242,AEGISLOG,-16,down
DEEPAKNTR.NS,1753.8,16.87,1632.81,-6.08,-2.56,-10.63,3,243,DEEPAKNTR,-5,down
MANKIND.NS,2230.0,17.27,2228.44,-7.15,-2.76,-11.47,2,244,MANKIND,0,new
TRENT.NS,4416.1,29.03,4284.5,-5.72,-2.94,-12.22,2,245,TRENT,-9,down
PAGEIND.NS,37750.0,22.86,37084.19,-10.26,-3.55,-14.76,2,246,PAGEIND,-7,down
IREDA.NS,141.25,22.51,135.1,-9.6,-4.69,-19.5,1,247,IREDA,0,new
PRAJIND.NS,378.7,27.97,345.3,-10.6,-6.33,-26.31,1,248,PRAJIND,0,new
RKFORGE.NS,556.1,27.47,545.18,-12.51,-6.61,-27.47,0,249,RKFORGE,-8,down
