symbol,symbol_clean,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,rs_h,vol_h,perf_h,rs_up,rs_bars,rank_status,rank_diff,rank_delta
AIZ,AIZ,287.22,4.76,242.52,41.53,0.1432,65.84,72,101,"[74, 75, 82, 79, 72]","[30.33, 32.34, 41.68, 41.53, 41.53]","[43.26, 45.65, 66.07, 65.84, 65.84]",False,"[10.9, 11.0, 11.8, 11.5, 10.6]",down,-92,-92.0
FAST,FAST,52.15,0.0,44.75,40.98,0.1416,65.62,71,102,[71],[40.98],[65.62],False,[10.5],new,0,
MAR,MAR,348.44,13.44,340.35,37.24,0.1399,65.37,71,103,[71],[37.24],[65.37],False,[10.5],new,0,
VTR,VTR,91.95,8.53,82.89,46.76,0.1351,64.67,71,104,[71],[46.76],[64.67],False,[10.5],new,0,
RF,RF,31.46,2.9,27.75,37.19,0.1339,64.5,71,105,[71],[37.19],[64.5],False,[10.5],new,0,
PFG,PFG,113.81,1.39,97.36,40.09,0.1337,64.46,70,106,[70],[40.09],[64.46],False,[10.4],new,0,
DGX,DGX,237.63,0.36,196.83,43.87,0.1296,63.87,70,107,[70],[43.87],[63.87],False,[10.4],new,0,
ALL,ALL,269.67,1.98,220.42,39.65,0.128,63.64,70,108,"[64, 62, 77, 77, 70]","[22.27, 21.26, 39.98, 39.65, 39.65]","[34.27, 32.87, 64.18, 63.64, 63.64]",False,"[9.7, 9.4, 11.2, 11.2, 10.4]",down,-98,-98.0
DRI,DRI,217.97,0.0,197.35,35.44,0.125,63.21,69,109,[69],[35.44],[63.21],False,[10.3],new,0,
KMI,KMI,31.39,7.66,30.32,43.25,0.1238,63.03,69,110,[69],[43.25],[63.03],False,[10.3],new,0,
ABNB,ABNB,184.7,0.0,136.58,26.77,0.1206,62.56,69,111,"[39, 78, 74, 74, 69]","[8.47, 22.58, 26.43, 26.77, 26.77]","[16.2, 48.35, 61.71, 62.56, 62.56]",False,"[6.7, 11.4, 10.9, 10.9, 10.3]",down,-100,-100.0
AXON,AXON,596.33,29.22,520.67,16.8,0.1169,62.03,69,112,[69],[16.8],[62.03],False,[10.3],new,0,
SNA,SNA,411.11,1.96,371.6,41.67,0.1155,61.83,68,113,[68],[41.67],[61.83],False,[10.2],new,0,
HAS,HAS,94.49,9.46,85.33,29.55,0.1142,61.64,68,114,[68],[29.55],[61.64],False,[10.2],new,0,
HST,HST,22.67,11.24,20.3,35.68,0.1133,61.51,68,115,[68],[35.68],[61.51],False,[10.2],new,0,
PNC,PNC,251.76,1.41,219.54,40.42,0.1121,61.33,68,116,[68],[40.42],[61.33],False,[10.2],new,0,
MCK,MCK,879.87,11.53,807.96,33.88,0.1102,61.06,67,117,[67],[33.88],[61.06],False,[10.0],new,0,
AME,AME,252.88,0.74,221.42,41.23,0.0984,59.35,67,118,"[67, 70, 72, 72, 67]","[25.14, 27.75, 41.45, 41.23, 41.23]","[36.39, 40.07, 59.66, 59.35, 59.35]",False,"[10.0, 10.4, 10.6, 10.6, 10.0]",down,-106,-106.0
EMR,EMR,158.71,2.31,139.17,30.21,0.098,59.29,67,119,[67],[30.21],[59.29],False,[10.0],new,0,
FOX,FOX,56.33,16.42,54.17,30.65,0.0957,58.96,66,120,[66],[30.65],[58.96],False,[9.9],new,0,
SPG,SPG,220.55,6.82,198.78,40.6,0.0929,58.55,66,121,[66],[40.6],[58.55],False,[9.9],new,0,
F,F,14.0,19.72,13.1,26.39,0.0907,58.22,66,122,[66],[26.39],[58.22],False,[9.9],new,0,
ETN,ETN,444.96,0.83,381.86,24.87,0.0892,58.01,66,123,[66],[24.87],[58.01],False,[9.9],new,0,
FITB,FITB,57.13,3.77,49.83,33.45,0.0844,57.31,65,124,[65],[33.45],[57.31],False,[9.8],new,0,
BKNG,BKNG,212.88,6.19,184.04,28.38,0.0841,57.27,65,125,[65],[28.38],[57.27],False,[9.8],new,0,
CF,CF,121.48,11.35,107.48,24.21,0.0837,57.22,65,126,[65],[24.21],[57.22],False,[9.8],new,0,
KEY,KEY,22.68,5.46,20.85,29.63,0.0728,55.64,64,127,[64],[29.63],[55.64],False,[9.7],new,0,
TXN,TXN,280.44,15.17,244.21,20.79,0.0636,54.3,64,128,[64],[20.79],[54.3],False,[9.7],new,0,
CSX,CSX,50.12,5.84,42.87,35.34,0.0617,54.02,64,129,[64],[35.34],[54.02],False,[9.7],new,0,
EXPD,EXPD,179.0,2.08,152.44,29.97,0.0603,53.82,64,130,[64],[29.97],[53.82],False,[9.7],new,0,
MMM,MMM,182.04,0.47,157.31,30.61,0.0577,53.44,63,131,"[48, 49, 69, 69, 63]","[13.1, 13.52, 30.59, 30.61, 30.61]","[22.06, 22.79, 53.41, 53.44, 53.44]",False,"[7.8, 7.9, 10.3, 10.3, 9.6]",down,-118,-118.0
VTRS,VTRS,16.28,8.85,14.39,24.36,0.0558,53.16,63,132,[63],[24.36],[53.16],False,[9.6],new,0,
APA,APA,41.02,6.32,32.03,16.84,0.0543,52.95,63,133,"[96, 94, 67, 67, 63]","[37.55, 34.79, 16.74, 16.84, 16.84]","[109.32, 100.12, 52.61, 52.95, 52.95]",False,"[13.5, 13.3, 10.0, 10.0, 9.6]",down,-119,-119.0
TEL,TEL,214.28,13.35,208.62,26.12,0.0494,52.24,62,134,[62],[26.12],[52.24],False,[9.4],new,0,
PCAR,PCAR,131.24,5.04,116.57,29.24,0.0481,52.05,62,135,[62],[29.24],[52.05],False,[9.4],new,0,
HLT,HLT,311.0,11.2,308.87,33.86,0.0475,51.96,62,136,[62],[33.86],[51.96],False,[9.4],new,0,
EVRG,EVRG,82.09,6.85,79.51,50.43,0.0444,51.51,62,137,[62],[50.43],[51.51],False,[9.4],new,0,
BMY,BMY,64.84,1.59,55.73,28.58,0.0422,51.19,61,138,[61],[28.58],[51.19],False,[9.3],new,0,
FDX,FDX,325.08,3.68,282.66,25.12,0.0379,50.57,61,139,[61],[25.12],[50.57],False,[9.3],new,0,
DD,DD,141.55,7.7,131.35,24.58,0.0313,49.61,61,140,[61],[24.58],[49.61],False,[9.3],new,0,
EA,EA,209.7,0.0,196.62,31.77,0.0287,49.24,60,141,[60],[31.77],[49.24],False,[9.2],new,0,
L,L,113.8,4.69,107.23,41.39,0.0252,48.72,60,142,[60],[41.39],[48.72],False,[9.2],new,0,
ADM,ADM,80.49,7.82,71.26,28.13,0.025,48.7,60,143,"[71, 66, 62, 64, 60]","[24.47, 21.87, 27.59, 28.13, 28.13]","[40.93, 36.54, 47.66, 48.7, 48.7]",False,"[10.5, 9.9, 9.4, 9.7, 9.2]",down,-128,-128.0
SOLV,SOLV,85.21,3.77,75.59,24.69,0.0178,47.65,60,144,[60],[24.69],[47.65],False,[9.2],new,0,
LH,LH,321.31,0.0,270.4,32.34,0.0142,47.12,59,145,[59],[32.34],[47.12],False,[9.1],new,0,
MET,MET,97.03,2.92,81.55,28.17,0.0132,46.98,59,146,[59],[28.17],[46.98],False,[9.1],new,0,
NSC,NSC,333.95,4.39,302.46,30.76,0.0094,46.43,59,147,[59],[30.76],[46.43],False,[9.1],new,0,
CVX,CVX,194.91,6.85,175.93,30.51,0.0091,46.39,58,148,[58],[30.51],[46.39],False,[9.0],new,0,
TJX,TJX,158.82,5.69,152.17,38.11,0.0077,46.18,58,149,[58],[38.11],[46.18],False,[9.0],new,0,
AXP,AXP,338.86,11.24,328.93,24.78,0.0067,46.05,58,150,"[41, 41, 59, 62, 58]","[10.1, 9.95, 24.48, 24.78, 24.78]","[17.16, 16.91, 45.5, 46.05, 46.05]",False,"[6.9, 6.9, 9.1, 9.4, 9.0]",down,-134,-134.0
TT,TT,476.99,5.26,446.98,25.54,0.004,45.65,58,151,[58],[25.54],[45.65],False,[9.0],new,0,
NDAQ,NDAQ,95.62,4.67,88.25,27.79,-0.0056,44.26,57,152,[57],[27.79],[44.26],False,[8.8],new,0,
CPAY,CPAY,400.88,0.0,335.53,19.36,-0.0069,44.07,57,153,[57],[19.36],[44.07],False,[8.8],new,0,
CINF,CINF,173.86,9.46,165.08,29.58,-0.0111,43.46,57,154,[57],[29.58],[43.46],False,[8.8],new,0,
XOM,XOM,159.79,6.18,140.0,27.7,-0.0116,43.39,56,155,[56],[27.7],[43.39],False,[8.7],new,0,
SBUX,SBUX,104.65,3.43,97.1,19.46,-0.0148,42.92,56,156,[56],[19.46],[42.92],False,[8.7],new,0,
AAPL,AAPL,308.26,9.36,280.74,23.58,-0.0158,42.77,56,157,"[77, 73, 56, 59, 56]","[29.35, 26.98, 23.04, 23.58, 23.58]","[47.08, 42.97, 41.83, 42.77, 42.77]",False,"[11.2, 10.8, 8.7, 9.1, 8.7]",down,-140,-140.0
CRL,CRL,277.0,0.0,191.56,13.44,-0.0173,42.56,56,158,[56],[13.44],[42.56],False,[8.7],new,0,
CBOE,CBOE,285.02,22.11,278.26,24.12,-0.0192,42.28,55,159,[55],[24.12],[42.28],False,[8.6],new,0,
HBAN,HBAN,17.6,6.9,16.63,22.81,-0.0207,42.07,55,160,[55],[22.81],[42.07],False,[8.6],new,0,
BA,BA,232.79,7.68,218.32,18.39,-0.0223,41.83,55,161,[55],[18.39],[41.83],False,[8.6],new,0,
AMP,AMP,557.53,0.62,483.07,23.79,-0.0256,41.36,55,162,"[31, 32, 54, 56, 55]","[7.18, 7.59, 23.92, 23.79, 23.79]","[11.57, 12.21, 41.6, 41.36, 41.36]",False,"[5.7, 5.8, 8.5, 8.7, 8.6]",down,-144,-144.0
GD,GD,395.97,0.0,345.76,29.32,-0.0261,41.28,54,163,[54],[29.32],[41.28],False,[8.5],new,0,
LLY,LLY,1231.94,0.29,1028.36,17.3,-0.0264,41.25,54,164,[54],[17.3],[41.25],False,[8.5],new,0,
PAYC,PAYC,213.45,7.88,152.16,14.89,-0.0268,41.18,54,165,[54],[14.89],[41.18],False,[8.5],new,0,
AEE,AEE,107.0,9.57,106.63,37.04,-0.0269,41.17,53,166,"[29, 28, 51, 54, 53]","[8.9, 8.74, 37.19, 37.04, 37.04]","[9.58, 9.4, 41.32, 41.17, 41.17]",False,"[5.5, 5.4, 8.1, 8.5, 8.4]",down,-147,-147.0
V,V,361.32,2.47,333.71,29.14,-0.029,40.86,53,167,[53],[29.14],[40.86],False,[8.4],new,0,
BLK,BLK,1131.4,4.4,1041.31,24.18,-0.0294,40.8,53,168,[53],[24.18],[40.8],False,[8.4],new,0,
EXE,EXE,97.56,19.7,97.52,21.14,-0.0301,40.7,53,169,[53],[21.14],[40.7],False,[8.4],new,0,
EW,EW,92.03,3.31,83.71,25.5,-0.0321,40.42,52,170,[52],[25.5],[40.42],False,[8.2],new,0,
ABBV,ABBV,247.97,5.82,222.3,23.12,-0.0402,39.24,52,171,"[56, 56, 49, 51, 52]","[17.08, 16.77, 22.29, 23.12, 23.12]","[28.09, 27.56, 37.81, 39.24, 39.24]",False,"[8.7, 8.7, 7.9, 8.1, 8.2]",down,-151,-151.0
HUBB,HUBB,504.9,9.22,477.78,19.34,-0.0441,38.67,52,172,[52],[19.34],[38.67],False,[8.2],new,0,
