symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
VZ,Communication Services,45.84,-0.0664367919732678,-5.96,16.16,34,"[31, 31, 35, 37, 34]",False,208,4,up
EMR,Industrials,149.0,-0.06370975212394248,15.17,12.0,34,"[29, 29, 31, 36, 34]",False,209,7,up
EW,Health Care,86.68,-0.06897092638143132,5.12,1.59,33,"[27, 27, 25, 39, 33]",False,210,-6,down
TRV,Financials,306.07,-0.06683995818546418,3.54,6.51,33,"[32, 32, 32, 35, 33]",False,211,7,up
CB,Financials,327.96,-0.07120963298638738,1.65,6.08,33,"[29, 29, 29, 33, 33]",False,212,13,up
ES,Utilities,69.05,-0.08339701562513047,0.36,5.17,32,"[20, 20, 19, 31, 32]",False,213,19,up
AXP,Financials,340.54,-0.07975382868410397,15.83,-10.08,32,"[27, 35, 32]",False,214,5,up
PFE,Health Care,25.92,-0.07936066072094117,-3.88,4.93,32,"[26, 26, 27, 33, 32]",False,215,9,up
AFL,Financials,116.24,-0.08386516262199706,9.02,7.28,31,"[30, 30, 32, 34, 31]",False,216,4,up
LYV,Communication Services,171.52,-0.08375227338873104,11.24,24.2,31,"[42, 42, 45, 37, 31]",False,217,-4,down
FTV,Industrials,60.68,-0.08355395087266326,9.23,11.14,31,"[25, 25, 30, 31, 31]",False,218,12,up
ALL,Financials,221.66,-0.08501234103239952,9.19,6.89,30,"[24, 24, 25, 30, 30]",False,219,16,up
XYZ,Financials,72.84,-0.08609782484555972,23.48,12.84,30,"[18, 18, 24, 34, 30]",False,220,2,up
VMC,Materials,294.82,-0.09024139870311232,14.94,1.35,30,"[20, 34, 30]",False,221,0,stable
DTE,Utilities,147.19,-0.09579146895453539,0.03,15.3,29,"[23, 23, 23, 31, 29]",False,222,9,up
RCL,Consumer Discretionary,301.47,-0.09557795296588067,11.41,8.59,29,"[22, 22, 31, 40, 29]",False,223,-20,down
WFC,Financials,83.81,-0.09467960371206385,10.34,-8.12,29,"[28, 28, 33, 38, 29]",False,224,-16,down
OMC,Communication Services,76.31,-0.0972310728472694,1.7,-2.45,28,"[22, 22, 28, 33, 28]",False,225,1,up
LIN,Materials,515.85,-0.10090974788188256,5.65,22.6,28,"[23, 23, 26, 28, 28]",False,226,16,up
BA,Industrials,225.63,-0.09924870327862712,12.15,9.15,28,"[20, 20, 18, 26, 28]",False,227,20,up
MMM,Industrials,159.23,-0.1024131379337423,12.15,-1.49,27,"[23, 23, 25, 32, 27]",False,228,1,up
REG,Real Estate,77.37,-0.1017985204977847,1.84,17.42,27,"[33, 33, 34, 34, 27]",False,229,-6,down
DE,Industrials,588.47,-0.1050100861700003,3.98,22.0,27,"[24, 24, 28, 25, 27]",False,230,20,up
LYB,Materials,61.81,-0.10513822972697606,-16.24,47.08,27,"[28, 28, 30, 25, 27]",False,231,20,up
UPS,Industrials,105.13,-0.10809306902204652,10.71,8.27,26,"[30, 30, 30, 35, 26]",False,232,-15,down
YUM,Consumer Discretionary,154.07,-0.10568156538032492,-0.91,2.98,26,"[19, 19, 18, 29, 26]",False,233,6,up
TT,Industrials,472.51,-0.10738692785690707,11.95,19.89,26,"[21, 21, 19, 25, 26]",False,234,19,up
HSIC,Health Care,79.97,-0.11635934688907534,10.03,3.79,25,"[26, 26, 30, 32, 25]",False,235,-8,down
MET,Financials,85.85,-0.11488111851248939,26.09,5.89,25,"[29, 29, 34, 32, 25]",False,236,-8,down
BBY,Consumer Discretionary,73.1,-0.11661301067368335,15.61,2.19,25,"[25, 25, 35, 30, 25]",False,237,-3,down
WEC,Utilities,112.54,-0.12027221117048059,-1.85,9.55,24,"[21, 21, 21, 27, 24]",False,238,7,up
CPAY,Financials,353.33,-0.11688731668060659,24.25,13.09,24,"[11, 11, 20, 19, 24]",False,239,32,up
TKO,Communication Services,194.53,-0.11786026141729011,-1.02,-6.92,24,"[55, 55, 47, 39, 24]",False,240,-34,down
DGX,Health Care,197.76,-0.12079094496539144,2.3,11.68,23,"[31, 31, 28, 28, 23]",False,241,2,up
PSA,Real Estate,312.58,-0.12117403349935563,13.76,19.15,23,"[27, 27, 26, 26, 23]",False,242,6,up
DUK,Utilities,123.73,-0.12304755063930495,-3.81,8.89,23,"[21, 21, 20, 26, 23]",False,243,6,up
EOG,Energy,133.25,-0.12576625137670217,-3.27,33.19,22,"[33, 33, 24, 19, 22]",False,244,28,up
HON,Industrials,228.61,-0.1235403485232307,0.37,16.52,22,"[14, 14, 15, 23, 22]",False,245,14,up
AMZN,Consumer Discretionary,237.5,-0.12309703977941489,13.77,6.71,22,"[27, 27, 23, 29, 22]",False,246,-8,down
MSCI,Financials,596.89,-0.12751762817812828,7.69,9.1,21,"[19, 19, 22, 24, 21]",False,247,8,up
EXC,Utilities,45.56,-0.12655170046651953,-4.21,5.99,21,"[18, 18, 20, 27, 21]",False,248,-4,down
ITW,Industrials,262.11,-0.12695931346180367,1.21,5.91,21,"[18, 24, 21]",False,249,7,up
OKE,Energy,85.58,-0.12821863329056593,-2.02,23.42,20,"[28, 28, 27, 22, 20]",False,250,10,up
HBAN,Financials,16.85,-0.12926587733693995,12.08,-1.72,20,"[25, 25, 32, 30, 20]",False,251,-15,down
PPG,Materials,117.14,-0.1295807227881649,19.85,14.35,20,"[19, 19, 29, 31, 20]",False,252,-19,down
BLK,Financials,1057.38,-0.13853229172254777,9.67,0.1,19,"[21, 19]",False,253,11,up
FAST,Industrials,44.88,-0.1362761127427503,1.41,7.15,19,"[22, 22, 24, 25, 19]",False,254,-2,down
O,Real Estate,60.57,-0.12998006104386506,-2.03,8.27,19,"[26, 26, 29, 28, 19]",False,255,-15,down
SBUX,Consumer Discretionary,99.82,-0.1303853915402413,4.77,18.77,19,"[24, 24, 25, 28, 19]",False,256,-15,down
CMS,Utilities,73.31,-0.14243433082449863,-4.61,6.47,18,"[15, 15, 17, 20, 18]",False,257,12,up
SYY,Consumer Staples,79.0,-0.1419301799797168,-2.54,6.74,18,"[20, 20, 19, 19, 18]",False,258,12,up
CNC,Health Care,60.64,-0.14109224637000795,70.48,55.61,18,"[30, 30, 33, 22, 18]",False,259,4,up
DLR,Real Estate,187.08,-0.15071329404349498,4.71,26.17,17,"[17, 17, 17, 21, 17]",False,260,5,up
ED,Utilities,107.04,-0.14268207352826656,-3.36,9.99,17,"[16, 16, 16, 20, 17]",False,261,7,up
RJF,Financials,158.77,-0.1560284142963302,11.55,-1.27,17,"[19, 17]",False,262,11,up
SO,Utilities,92.53,-0.16251420685592177,-3.05,9.71,16,"[17, 17, 16, 20, 16]",False,263,4,up
CF,Materials,105.85,-0.1627719765963649,-15.35,37.78,16,"[31, 31, 22, 15, 16]",False,264,22,up
PRU,Financials,107.01,-0.15696651272898277,17.25,-6.1,16,"[18, 18, 21, 22, 16]",False,265,-3,down
SCHW,Financials,94.51,-0.17614266694886127,0.91,-0.87,15,"[17, 15]",False,266,13,up
ABNB,Consumer Discretionary,140.54,-0.1773113990671047,7.45,6.46,15,"[6, 13, 15]",True,267,26,up
ELV,Health Care,391.27,-0.1779133870161549,34.93,12.33,15,"[15, 15, 16, 18, 15]",False,268,7,up
APO,Financials,138.91,-0.18022025684841325,25.25,-4.81,14,"[9, 9, 11, 17, 14]",False,269,8,up
SW,Materials,43.42,-0.1850713976144711,18.92,17.55,14,"[13, 13, 15, 16, 14]",False,270,10,up
CTVA,Materials,77.37,-0.1866672648131802,-0.67,18.7,14,"[14, 11, 14]",False,271,26,up
APD,Materials,281.75,-0.1900584889846928,-0.22,17.89,13,"[11, 13, 13]",False,272,20,up
WAT,Health Care,357.0,-0.18865865229559842,19.17,-5.69,13,"[13, 13, 12, 16, 13]",False,273,10,up
CL,Consumer Staples,90.58,-0.18757840398365166,6.6,16.15,13,"[9, 9, 9, 14, 13]",False,274,13,up
DECK,Consumer Discretionary,105.72,-0.19390621037051692,0.77,1.46,12,"[16, 16, 23, 18, 12]",False,275,-1,down
BALL,Materials,57.72,-0.1916844357851053,-1.79,12.26,12,"[14, 17, 12]",False,276,2,up
IFF,Materials,76.05,-0.2004960392370574,12.28,19.19,12,"[12, 12, 13, 16, 12]",False,277,4,up
ECL,Materials,269.06,-0.19564637590822187,4.29,4.23,12,"[16, 12]",False,278,4,up
RVTY,Health Care,97.82,-0.2015451446653851,14.15,1.75,11,"[16, 16, 15, 18, 11]",False,279,-3,down
COF,Financials,200.87,-0.20687379480674628,12.24,-16.19,11,"[14, 11]",False,280,9,up
CHD,Consumer Staples,97.41,-0.21148055232430285,3.33,15.94,11,"[10, 10, 10, 12, 11]",False,281,13,up
EXR,Real Estate,143.92,-0.2121362618597198,6.98,12.6,10,"[14, 14, 13, 12, 10]",False,282,13,up
EG,Financials,337.52,-0.21432644202931428,7.46,4.37,10,"[10, 10, 10, 10, 10]",False,283,17,up
SOLV,Health Care,74.56,-0.21406584907440807,11.05,-7.48,10,"[17, 17, 16, 15, 10]",False,284,1,up
VRTX,Health Care,458.99,-0.21702159759279294,0.21,0.89,9,"[6, 6, 6, 10, 9]",False,285,18,up
BRK-B,Financials,491.28,-0.22798278832106322,2.04,-1.71,9,"[8, 9, 9]",False,286,19,up
PM,Consumer Staples,179.44,-0.22317997769414832,9.84,15.67,9,"[12, 12, 12, 13, 9]",False,287,3,up
CARR,Industrials,69.49,-0.23129166070390816,18.26,31.06,8,"[7, 7, 7, 12, 8]",False,288,8,up
SWKS,Information Technology,69.38,-0.23117272383455645,29.31,7.28,8,"[15, 15, 17, 13, 8]",False,289,2,up
HPQ,Information Technology,23.18,-0.2328071122169333,26.96,-3.98,8,"[14, 14, 21, 14, 8]",False,290,-2,down
ESS,Real Estate,274.4,-0.235700788868759,12.62,9.66,7,"[12, 12, 12, 10, 7]",False,291,11,up
TDG,Industrials,1316.75,-0.24572120680587173,10.47,3.63,7,"[5, 7]",True,292,25,up
CPT,Real Estate,109.35,-0.25619151429613385,10.9,5.93,7,"[12, 12, 11, 8, 7]",False,293,15,up
EQR,Real Estate,64.63,-0.2601190010683042,10.29,8.91,6,"[9, 9, 10, 9, 6]",False,294,10,up
PG,Consumer Staples,150.56,-0.26043947827465375,4.73,5.21,6,"[3, 3, 4, 7, 6]",False,295,18,up
V,Financials,330.38,-0.26235103042798746,10.46,-3.87,6,"[3, 6]",True,296,30,up
ALGN,Health Care,173.53,-0.27663687319905284,-1.54,6.53,5,"[7, 7, 6, 10, 5]",False,297,4,up
WY,Real Estate,24.33,-0.27064286363578904,6.88,6.32,5,"[3, 3, 4, 7, 5]",False,298,13,up
DRI,Consumer Discretionary,211.33,-0.2628716496474799,4.18,15.64,5,"[10, 10, 8, 4, 5]",False,299,21,up
TTWO,Communication Services,228.03,-0.28453827191144776,13.03,-6.75,4,"[5, 4]",False,300,18,up
KDP,Consumer Staples,30.89,-0.2792935677765822,14.78,9.9,4,"[7, 7, 7, 8, 4]",False,301,6,up
VRSN,Information Technology,264.92,-0.28670673964962223,10.84,10.06,4,"[11, 11, 9, 6, 4]",False,302,13,up
UDR,Real Estate,37.65,-0.28119552464859476,8.18,8.78,4,"[8, 8, 8, 6, 4]",False,303,13,up
AMP,Financials,471.97,-0.296238740301605,9.13,-2.36,3,[3],False,304,-999,new
MDLZ,Consumer Staples,60.86,-0.292836094700482,8.67,14.79,3,"[6, 6, 5, 5, 3]",False,305,14,up
LII,Industrials,516.11,-0.28888489283901875,8.47,5.39,3,"[7, 3]",False,306,6,up
MAA,Real Estate,133.11,-0.3057250410429103,8.22,2.31,2,"[4, 4, 5, 4, 2]",False,307,16,up
BXP,Real Estate,63.06,-0.3185066521907032,19.68,-8.66,2,"[4, 4, 4, 4, 2]",False,308,13,up
CI,Health Care,285.09,-0.31377543646180694,8.38,4.42,2,"[5, 5, 3, 4, 2]",False,309,13,up
INVH,Real Estate,28.49,-0.36030344451994833,15.35,8.63,1,"[2, 2, 2, 2, 1]",False,310,19,up
KVUE,Consumer Staples,18.01,-0.3582613611876718,4.57,6.88,1,"[1, 1, 1, 2, 1]",False,311,17,up
DXCM,Health Care,71.23,-0.3613647137884338,5.89,7.32,1,"[2, 2, 2, 2, 1]",False,312,15,up
HRL,Consumer Staples,24.33,-0.3936207109575858,10.31,5.63,0,"[1, 1, 1, 1, 0]",False,313,19,up
