symbol,sector,price,last_swing_low,sl_percent,retracement,rs,rs_trend,rs_change
EIEL,Industrials,226.73,222.12,2.03,26.0,1.13,🚀 Accelerating,17.7
JUBLINGREA,Basic Materials,750.1,667.9,10.96,11.34,1.13,🚀 Accelerating,16.5
CREDITACC,Financial Services,1476.7,1422.0,3.7,8.17,1.12,🚀 Accelerating,3.7
CUB,Financial Services,221.67,212.0,4.36,8.81,1.12,🚀 Accelerating,8.7
USHAMART,Basic Materials,501.25,486.0,3.04,4.98,1.12,🟢 Steady,0.9
JAMNAAUTO,Consumer Cyclical,134.73,130.71,2.98,11.71,1.12,🟢 Steady,0.0
EPL,Consumer Cyclical,237.7,232.0,2.4,3.71,1.12,🚀 Accelerating,3.7
MANKIND,Healthcare,2540.6,2491.1,1.95,5.69,1.12,🚀 Accelerating,5.7
SUNPHARMA,Healthcare,1953.8,1910.0,2.24,0.45,1.12,🚀 Accelerating,4.7
PGEL,Technology,618.0,530.6,14.14,26.08,1.12,🚀 Accelerating,9.8
TANLA,Technology,589.2,520.15,11.72,21.45,1.12,🚀 Accelerating,15.5
HIKAL,Healthcare,234.8,215.0,8.43,33.59,1.11,🚀 Accelerating,20.7
THELEELA,Consumer Cyclical,478.05,473.7,0.91,6.45,1.11,🟢 Steady,2.8
SHRIRAMFIN,Financial Services,1026.5,1007.0,1.9,6.83,1.11,⚠️ Fading,-1.8
VAIBHAVGBL,Consumer Cyclical,253.45,231.72,8.57,11.97,1.11,🟢 Steady,0.9
GODREJPROP,Real Estate,2100.0,1972.4,6.08,12.79,1.11,🚀 Accelerating,15.6
REDINGTON,Technology,279.1,266.55,4.5,9.28,1.11,🟢 Steady,0.9
KARURVYSYA,Financial Services,307.05,291.5,5.06,10.6,1.11,🟢 Steady,0.0
NIVABUPA,Financial Services,87.01,84.44,2.95,6.34,1.11,⚠️ Fading,-0.9
GRAVITA,Industrials,1829.0,1789.3,2.17,6.16,1.11,🚀 Accelerating,5.7
APTUS,Financial Services,297.15,274.85,7.5,17.04,1.11,🚀 Accelerating,11.0
LTF,Financial Services,310.95,309.4,0.5,8.17,1.1,🚀 Accelerating,5.8
RELIGARE,Financial Services,264.65,260.85,1.44,10.29,1.1,🚀 Accelerating,5.8
MARICO,Consumer Defensive,844.25,835.0,1.1,3.29,1.1,🟢 Steady,1.9
NH,Healthcare,2024.5,1957.0,3.33,3.29,1.1,🚀 Accelerating,6.8
CHOICEIN,Financial Services,819.9,762.1,7.05,4.72,1.1,🚀 Accelerating,17.0
GLENMARK,Healthcare,2297.0,2212.6,3.67,7.15,1.1,🚀 Accelerating,5.8
DATAMATICS,Technology,861.8,800.0,7.17,22.64,1.09,🚀 Accelerating,6.9
PRESTIGE,Real Estate,1641.5,1617.8,1.44,9.41,1.09,🚀 Accelerating,7.9
DYNAMATECH,Consumer Cyclical,10428.0,10181.0,2.37,19.01,1.09,⚠️ Fading,-7.6
FIVESTAR,Financial Services,543.95,530.15,2.54,28.51,1.09,🚀 Accelerating,4.8
IIFL,Financial Services,558.85,513.0,8.2,16.59,1.09,🚀 Accelerating,3.8
HOMEFIRST,Financial Services,1222.6,1135.3,7.14,19.14,1.08,🚀 Accelerating,6.9
PRICOLLTD,Consumer Cyclical,627.65,611.2,2.62,9.59,1.08,🚀 Accelerating,10.2
3MINDIA,Industrials,36000.0,33905.0,5.82,5.34,1.08,🚀 Accelerating,6.9
BAJFINANCE,Financial Services,1036.8,995.2,4.01,5.38,1.08,🚀 Accelerating,8.0
ENDURANCE,Consumer Cyclical,2785.0,2561.0,8.04,9.57,1.08,🚀 Accelerating,8.0
HCC,Industrials,23.08,22.53,2.38,23.07,1.07,⚠️ Fading,-14.4
INDHOTEL,Consumer Cyclical,734.8,718.6,2.2,9.1,1.07,🚀 Accelerating,3.9
FDC,Healthcare,422.0,416.75,1.24,19.03,1.07,🚀 Accelerating,10.3
SUNDRMFAST,Consumer Cyclical,965.55,914.95,5.24,9.13,1.07,🚀 Accelerating,11.5
NATIONALUM,Basic Materials,359.15,339.75,5.4,19.2,1.07,⚠️ Fading,-8.5
LICI,Financial Services,439.9,425.4,3.3,3.9,1.06,🚀 Accelerating,3.9
ANANTRAJ,Real Estate,579.3,528.2,8.82,22.1,1.06,🚀 Accelerating,12.8
ASKAUTOLTD,Consumer Cyclical,486.15,444.0,8.67,15.96,1.06,🚀 Accelerating,6.0
DEEPAKNTR,Basic Materials,1733.5,1550.0,10.59,12.48,1.06,🚀 Accelerating,6.0
POONAWALLA,Financial Services,470.05,454.55,3.3,17.59,1.05,🚀 Accelerating,15.4
CANFINHOME,Financial Services,904.85,885.75,2.11,6.01,1.05,🟢 Steady,1.9
PRAJIND,Industrials,355.1,352.05,0.86,29.75,1.05,🚀 Accelerating,4.0
NATCOPHARM,Healthcare,976.45,948.0,2.91,20.41,1.05,🚀 Accelerating,9.4
IIFLCAPS,Financial Services,338.3,336.6,0.5,16.98,1.05,⚠️ Fading,-3.7
ETERNAL,Consumer Cyclical,289.7,278.55,3.85,21.37,1.05,🚀 Accelerating,11.7
ICICIBANK,Financial Services,1412.5,1375.9,2.59,5.11,1.05,🚀 Accelerating,5.0
TECHM,Technology,1524.8,1321.26,13.35,15.62,1.05,🚀 Accelerating,8.2
INDIGOPNTS,Basic Materials,1075.9,1026.0,4.64,20.06,1.05,🚀 Accelerating,6.1
POLYMED,Healthcare,1708.8,1622.5,5.05,21.22,1.05,🚀 Accelerating,10.5
TSFINV,Financial Services,468.75,390.75,16.64,31.53,1.04,🚀 Accelerating,22.4
AAVAS,Financial Services,1493.5,1472.6,1.4,23.83,1.04,🟢 Steady,2.0
PNCINFRA,Industrials,241.3,233.26,3.33,27.13,1.04,🚀 Accelerating,14.3
RKFORGE,Industrials,565.65,558.85,1.2,15.19,1.04,⚠️ Fading,-3.7
CENTURYPLY,Basic Materials,797.9,752.95,5.63,7.11,1.04,🚀 Accelerating,5.1
APLLTD,Healthcare,841.25,801.25,4.75,18.52,1.04,🚀 Accelerating,13.0
FORTIS,Healthcare,965.3,938.4,2.79,12.59,1.04,🟢 Steady,1.0
JKPAPER,Basic Materials,375.1,339.6,9.46,15.67,1.04,🚀 Accelerating,6.1
SHREECEM,Basic Materials,27070.0,25805.0,4.67,16.45,1.04,🚀 Accelerating,8.3
GLAXO,Healthcare,2506.0,2370.0,5.43,20.19,1.04,🚀 Accelerating,11.8
TBOTEK,Consumer Cyclical,1464.0,1461.1,0.2,17.04,1.03,🟢 Steady,0.0
ADVENZYMES,Basic Materials,325.55,315.55,3.07,22.3,1.03,⚠️ Fading,-12.7
CDSL,Financial Services,1420.7,1301.0,8.43,18.34,1.03,🚀 Accelerating,5.1
UNITDSPR,Consumer Defensive,1379.1,1320.03,4.28,6.18,1.03,🟢 Steady,3.0
GATEWAY,Industrials,59.55,57.71,3.09,18.21,1.03,⚠️ Fading,-1.0
INDIASHLTR,Financial Services,814.25,763.35,6.25,18.46,1.03,🚀 Accelerating,9.6
ALKEM,Healthcare,5674.5,5394.5,4.93,3.59,1.03,🚀 Accelerating,5.1
PPLPHARMA,Healthcare,175.4,166.11,5.3,20.58,1.03,🚀 Accelerating,12.0
HCG,Healthcare,653.85,626.1,4.24,18.74,1.02,🚀 Accelerating,7.4
HAL,Industrials,4442.8,4305.8,3.08,10.01,1.02,🟢 Steady,1.0
ARE&M,Industrials,900.4,829.1,7.92,14.4,1.02,🚀 Accelerating,7.4
JSWSTEEL,Basic Materials,1225.3,1212.2,1.07,7.2,1.02,⚠️ Fading,-5.6
BEML,Industrials,1830.0,1760.1,3.82,22.34,1.01,🚀 Accelerating,6.3
ITCHOTELS,Consumer Cyclical,183.34,180.75,1.41,29.46,1.01,🚀 Accelerating,9.8
PETRONET,Energy,277.4,270.5,2.49,14.03,1.01,⚠️ Fading,-3.8
PARADEEP,Basic Materials,142.19,138.96,2.27,39.06,1.01,🚀 Accelerating,9.8
IFBIND,Consumer Cyclical,1369.0,1235.1,9.78,32.22,1.0,🚀 Accelerating,7.5
DLF,Real Estate,650.95,630.75,3.1,23.44,1.0,🚀 Accelerating,5.3
M&MFIN,Financial Services,323.65,316.72,2.14,19.72,1.0,🚀 Accelerating,9.9
BANCOINDIA,Consumer Cyclical,660.85,655.55,0.8,23.14,1.0,⚠️ Fading,-1.0
TVSMOTOR,Consumer Cyclical,3577.0,3572.8,0.12,9.58,1.0,🚀 Accelerating,3.1
ASAHIINDIA,Consumer Cyclical,914.05,855.2,6.44,14.89,1.0,🚀 Accelerating,6.4
